_mb_row_id,Municipio,Categoria,Nome,Endereco,Latitude,Longitude
182,Campina Grande,Educação,"ECI VIRGINIUS DA GAMA E MELO
","R. Penedo, SN - Malvinas, Campina Grande - PB, 58433-146",-7.23264870,-35.92771912
183,Campina Grande,Educação,"EEEF DE MONTE SANTO
","R. Diogo da Costa, 305 - Monte Santo, Campina Grande - PB, 58400-733",-7.21164241,-35.90034910
184,Campina Grande,Educação,EEEF REITOR EDVALDO,"R. Isolda Barros Torquarto, S/N - Bodocongó, Campina Grande - PB, 58430-290",-7.22479007,-35.91597527
186,Campina Grande,Trânsito,1ª Ciretran,"1ª Ciretran - Av. Francisco Lopes de Almeida, 2168 - Malvinas, Campina Grande - PB, 58432-570",-7.25090780,-35.93115330
187,Campina Grande,Trânsito,Casa da Cidadania Shopping Luiza Mota,"R. Sebastião Viêira da Silva, 1395 - Catolé, Campina Grande - PB, 58410-612",-7.23441780,-35.87916270
188,Campina Grande,Educação,"EEEF SANTO ANTONIO
","R. Francisco Antonio Nascimento, 1078 - Castelo Branco, Campina Grande - PB, 58407-000",-7.21687359,-35.86600082
189,Campina Grande,Educação,"Escola Municipal Padre Antonino
","R. Carlos Alberto Souza, 245 - Bodocongó, Campina Grande - PB, 58430-360",-7.21816211,-35.91554763
190,Campina Grande,Educação,"EEEF SOLON DE LUCENA
","R. Pref. Ernane Lauritzen, S/N - Centro, Campina Grande - PB, 58400-133",-7.21537116,-35.88183960
191,Campina Grande,Educação,"ECIT Irmã Stefanie
","R. Henrique Nóbrega - Malvinas, Campina Grande - PB, 58400-002",-7.25637593,-35.92467315
192,Campina Grande,Educação,"EEEFM Nenzinha Cunha Lima
","R. Fernandes Viêira, S/N - José Pinheiro, Campina Grande - PB, 58407-490",-7.22991753,-35.86674227
193,Campina Grande,Educação,Estadual da Palmeira,"R. Quinze de Novembro, 1650 - Jardim Continental, Campina Grande - PB, 58401-005",-7.19893540,-35.89579909
